   1   0 -4.99997021E-01
   2   0 -1.24999644E-01
   3   0 -5.55554550E-02
   4   0 -3.12499595E-02
   5   0 -1.99999801E-02
   6   0 -1.38888778E-02
   7   0 -1.02040749E-02
   8   0 -7.81249562E-03
   9   0 -6.17283652E-03
  10   0 -4.99999787E-03
  11   0 -4.13222984E-03
  12   0 -3.47222104E-03
  13   0 -2.95857897E-03
  14   0 -2.55101969E-03
  15   0 -2.22222165E-03
  16   0 -1.95312453E-03
  17   0 -1.73010342E-03
  18   0 -1.54320956E-03
  19   0 -1.38504128E-03
  20   0 -1.24999977E-03
  21   0 -1.13378665E-03
  22   0 -1.03305768E-03
  23   0 -9.45179436E-04
  24   0 -8.68055426E-04
  25   0 -7.99999887E-04
  26   0 -7.39644870E-04
  27   0 -6.85870967E-04
  28   0 -6.37755023E-04
  29   0 -5.94530250E-04
  30   0 -5.55555491E-04
   2   1 -1.25000006E-01
   3   1 -5.55555598E-02
   4   1 -3.12500031E-02
   5   1 -2.00000022E-02
   6   1 -1.38888905E-02
   7   1 -1.02040829E-02
   8   1 -7.81250096E-03
   9   1 -6.17284026E-03
  10   1 -5.00000060E-03
  11   1 -4.13223188E-03
  12   1 -3.47222261E-03
  13   1 -2.95858021E-03
  14   1 -2.55102068E-03
  15   1 -2.22222245E-03
  16   1 -1.95312520E-03
  17   1 -1.73010397E-03
  18   1 -1.54321002E-03
  19   1 -1.38504168E-03
  20   1 -1.25000011E-03
  21   1 -1.13378694E-03
  22   1 -1.03305794E-03
  23   1 -9.45179659E-04
  24   1 -8.68055622E-04
  25   1 -8.00000060E-04
  26   1 -7.39645024E-04
  27   1 -6.85871105E-04
  28   1 -6.37755146E-04
  29   1 -5.94530361E-04
  30   1 -5.55555592E-04
   3   2 -5.55555562E-02
   4   2 -3.12500008E-02
   5   2 -2.00000008E-02
   6   2 -1.38888896E-02
   7   2 -1.02040822E-02
   8   2 -7.81250050E-03
   9   2 -6.17283993E-03
  10   2 -5.00000034E-03
  11   2 -4.13223169E-03
  12   2 -3.47222246E-03
  13   2 -2.95858009E-03
  14   2 -2.55102058E-03
  15   2 -2.22222237E-03
  16   2 -1.95312513E-03
  17   2 -1.73010392E-03
  18   2 -1.54320997E-03
  19   2 -1.38504164E-03
  20   2 -1.25000007E-03
  21   2 -1.13378691E-03
  22   2 -1.03305791E-03
  23   2 -9.45179636E-04
  24   2 -8.68055602E-04
  25   2 -8.00000042E-04
  26   2 -7.39645008E-04
  27   2 -6.85871090E-04
  28   2 -6.37755133E-04
  29   2 -5.94530349E-04
  30   2 -5.55555581E-04
   4   3 -3.12500001E-02
   5   3 -2.00000002E-02
   6   3 -1.38888891E-02
   7   3 -1.02040819E-02
   8   3 -7.81250025E-03
   9   3 -6.17283974E-03
  10   3 -5.00000020E-03
  11   3 -4.13223158E-03
  12   3 -3.47222237E-03
  13   3 -2.95858001E-03
  14   3 -2.55102052E-03
  15   3 -2.22222232E-03
  16   3 -1.95312509E-03
  17   3 -1.73010388E-03
  18   3 -1.54320994E-03
  19   3 -1.38504161E-03
  20   3 -1.25000005E-03
  21   3 -1.13378689E-03
  22   3 -1.03305789E-03
  23   3 -9.45179621E-04
  24   3 -8.68055589E-04
  25   3 -8.00000030E-04
  26   3 -7.39644998E-04
  27   3 -6.85871081E-04
  28   3 -6.37755125E-04
  29   3 -5.94530341E-04
  30   3 -5.55555574E-04
   5   4 -2.00000000E-02
   6   4 -1.38888889E-02
   7   4 -1.02040817E-02
   8   4 -7.81250010E-03
   9   4 -6.17283963E-03
