   2   1   1   0  6.26827460E+08
   3   1   1   0  1.67342255E+08
   4   1   1   0  6.82230902E+07
   5   1   1   0  3.43936812E+07
   6   1   1   0  1.97388742E+07
   7   1   1   0  1.23684949E+07
   8   1   1   0  8.25925655E+06
   9   1   1   0  5.78796475E+06
  10   1   1   0  4.21278825E+06
  11   1   1   0  3.16144984E+06
  12   1   1   0  2.43296949E+06
  13   1   1   0  1.91228117E+06
  14   1   1   0  1.53024475E+06
  15   1   1   0  1.24359874E+06
  16   1   1   0  1.02432525E+06
  17   1   1   0  8.53732123E+05
  18   1   1   0  7.19022410E+05
  19   1   1   0  6.11233825E+05
  20   1   1   0  5.23962092E+05
  21   1   1   0  4.52547920E+05
  22   1   1   0  3.93546456E+05
  23   1   1   0  3.44373392E+05
  24   1   1   0  3.03064216E+05
  25   1   1   0  2.68107477E+05
  26   1   1   0  2.38327373E+05
  27   1   1   0  2.12799953E+05
  28   1   1   0  1.90792302E+05
  29   1   1   0  1.71718033E+05
  30   1   1   0  1.55104202E+05
   2   0   2   1  2.74112174E-08
   3   1   2   0  2.24605955E+07
   4   1   2   0  9.67333225E+06
   5   1   2   0  4.95100783E+06
   6   1   2   0  2.85987641E+06
   7   1   2   0  1.79814366E+06
   8   1   2   0  1.20319061E+06
   9   1   2   0  8.44295177E+05
  10   1   2   0  6.15083173E+05
  11   1   2   0  4.61886530E+05
  12   1   2   0  3.55629508E+05
  13   1   2   0  2.79624566E+05
  14   1   2   0  2.23826630E+05
  15   1   2   0  1.81941924E+05
  16   1   2   0  1.49890083E+05
  17   1   2   0  1.24946637E+05
  18   1   2   0  1.05245122E+05
  19   1   2   0  8.94776577E+04
  20   1   2   0  7.67092323E+04
  21   1   2   0  6.62593407E+04
  22   1   2   0  5.76246883E+04
  23   1   2   0  5.04276020E+04
  24   1   2   0  4.43809180E+04
  25   1   2   0  3.92636534E+04
  26   1   2   0  3.49038679E+04
  27   1   2   0  3.11664284E+04
  28   1   2   0  2.79441267E+04
  29   1   2   0  2.51511778E+04
  30   1   2   0  2.27183847E+04
   3   0   2   1  6.31683471E+06
   3   0   3   1  3.99707838E-09
   4   1   3   0  3.06681472E+06
   5   1   3   0  1.63861290E+06
   6   1   3   0  9.55611609E+05
   7   1   3   0  6.02870524E+05
   8   1   3   0  4.04007021E+05
