time,g2,g2 err,total,p12 total,time (min),time (h)
0.1,1.073440965,0.100156741,2066680,115,59,1
0.5,0.966239925,0.09552355,2068936,103,59,1
1,0.950662165,0.099880539,2106000,91,60,1
5,1.002583749,0.128666722,2103245,62,60,1
10,1.003237108,0.121686529,4203998,68,120,2
15,1.070009512,0.125638534,4141999,75,118,2
20,1.057103923,0.209232984,4144833,26,118,2
