pulse width,1,2,total,double,g2,g2 err,p1,p2,p1 err,p2 err
220,925,908,63999,1,0.076198357,0.076198357,0.028641073,1.56E-05,0.000668972,1.56E-05
600,2486,2438,191498,1,0.031595804,0.031595804,0.025713062,5.22E-06,0.000366433,5.22E-06
