phase,A1,A3,double,total,eff,g2,g2 err
0,8425,9980,61,1009997,0.018222826,0.732739271,0.09381765
45,5152,5863,31,605998,0.018176628,0.621923742,0.111700801
90,2724,2942,23,413999,0.013686023,1.188166645,0.247749872
135,3922,4281,28,1211997,0.006768169,2.021188223,0.381968671
180,3677,3759,36,3689991,0.002015181,9.610851172,1.601808529
225,2200,2709,16,2035995,0.002411106,5.46594181,1.366485453
270,4520,5636,21,1651150,0.006150865,1.361119965,0.297020727
315,9440,11808,47,1613403,0.013169679,0.680287325,0.099230105
200,2536,3012,24,3727994,0.0014882,11.71337992,2.390983664
