phase,A1,A3,double,total,eff,g2,g2 err
0,1045,1137,8,119999,0.018183485,0.807961857,0.285657654
45,1363,1623,9,229999,0.012982665,0.935737602,0.311912534
90,1222,1381,5,401999,0.00647514,1.191050272,0.532653875
135,1664,1956,8,805998,0.004491326,1.981078929,0.700417172
180,1406,1526,3,401999,0.00729355,0.562090666,0.324523197
225,1246,1353,3,201999,0.0128664,0.359463365,0.20753627
270,1152,1211,8,119999,0.019691831,0.688130792,0.243290975
315,1190,1493,9,121999,0.021991984,0.618005032,0.206001677
