phase,A1,A3,double,total,eff,g2,g2 err
0,1156,1340,16,119999,0.020800173,1.239467025,0.309866756
45,1269,1479,12,199999,0.013740069,1.278731237,0.369137912
90,1212,1390,12,399999,0.006505016,2.849198661,0.822492807
135,1425,1628,9,807998,0.003778475,3.134610113,1.044870038
180,1535,1673,14,403999,0.007940614,2.202439589,0.58862674
225,1642,1749,8,201999,0.016787212,0.562699131,0.198944186
270,1339,1389,8,119999,0.022733523,0.516160529,0.182490305
315,1465,1571,17,121999,0.02488545,0.901138163,0.218558108
