phase,A1,A3,double,total,eff,g2,g2 err
0,997,1063,31,41999,0.049048787,1.228491684,0.22064362
45,1347,1458,36,81999,0.034207734,1.503093294,0.250515549
90,1879,2051,42,205999,0.019077763,2.245029035,0.346415501
135,2454,2627,47,411999,0.012332554,3.003719602,0.438137534
180,1731,1901,33,205999,0.017631154,2.065855151,0.359619222
225,1277,1447,23,83999,0.032428957,1.045544504,0.2180111
270,913,974,20,41999,0.044929641,0.944581012,0.211214735
315,1090,1203,24,41999,0.054596538,0.768702098,0.156910659
