phase,A1,A3,double,total,eff,g2,g2 err
0,1465,1663,37,81999,0.038146807,1.245318404,0.204729084
45,2672,3003,58,205999,0.027548677,1.489022704,0.19551826
90,2907,3379,47,415999,0.015110613,1.990475888,0.290340748
135,3159,3432,47,827998,0.007960164,3.589469278,0.523577906
180,2672,2800,33,411999,0.013281586,1.81725393,0.316343304
225,2655,2754,39,207999,0.026004933,1.109423581,0.17764995
270,3923,4005,64,205999,0.038485624,0.839120358,0.104890045
315,1758,1890,42,83999,0.043429088,1.061800025,0.163839301
