phase,A1,A3,double,total,eff,g2,g2 err
0,1635,1865,16,207999,0.016827004,1.091401727,0.272850432
45,1905,2287,18,413999,0.010125628,1.71045106,0.403157181
90,720,809,7,413999,0.003693246,4.975266104,1.880473831
135,1379,1532,6,1241038,0.002345617,3.524628094,1.438923394
180,1098,1164,5,413999,0.005463781,1.619623151,0.724317493
225,2418,2471,10,413999,0.011809207,0.692899504,0.219114062
270,1840,1921,10,205999,0.01825737,0.582800512,0.184297704
315,2056,2142,16,207999,0.020182789,0.755681261,0.188920315
112,1620,1886,14,1241997,0.002822873,5.691043164,1.520995264
