phase,A1,A3,double,total,eff,g2,g2 err
0,2189,2214,37,119999,0.036691972,0.916127612,0.150610452
45,1435,1606,24,121999,0.024926434,1.270486547,0.25933698
90,1435,1482,16,243998,0.011955016,1.835718753,0.458929688
135,1470,1607,15,401999,0.007654248,2.552601501,0.659078874
180,1452,1479,17,199999,0.014655073,1.583222507,0.38398786
225,2664,2824,41,201999,0.027168451,1.100865251,0.171926268
270,2225,2357,31,121999,0.037557685,0.721154581,0.129523186
315,2319,2595,53,119999,0.040950341,1.05685495,0.145170192
