phase,A1,A3,double,total,eff,g2,g2 err
0,1850,1988,48,81999,0.046805449,1.070191963,0.154468904
45,1853,2065,39,123999,0.031597029,1.263826084,0.202374138
90,1736,1847,25,205999,0.017393288,1.606158885,0.321231777
135,1212,1078,15,207999,0.011009668,2.387982421,0.61657441
180,1897,1944,28,207999,0.018466435,1.579267459,0.298453497
225,1223,1294,28,83999,0.029964642,1.486180004,0.280861621
270,1854,2008,40,81999,0.047098135,0.881038951,0.13930449
315,2180,2341,39,81999,0.055134819,0.626635877,0.100342046
