phase,A1,A3,double,total,eff,g2,g2 err
0,1117,1202,9,79999,0.028987862,0.53625262,0.178750873
45,1825,2094,28,201999,0.019401086,1.480020411,0.279697567
90,890,977,13,207999,0.008976005,3.109710993,0.862478649
135,1897,2057,25,809998,0.004881494,5.189461958,1.037892392
180,1063,1144,13,207999,0.010610628,2.223541863,0.616699554
225,2051,2226,16,201999,0.021173372,0.707910545,0.176977636
270,1109,1282,14,79999,0.029887874,0.787758363,0.210537279
315,1301,1379,19,81999,0.032683325,0.868401559,0.199224981
