pulse width,counts,total,eff
200,27,14500,0.001862
400,82,14947,0.005486
600,91,15000,0.006067
800,104,15000,0.006933
1000,64,14500,0.004414
1200,40,14500,0.002759
1400,25,15000,0.001667
1600,44,14500,0.003034
1800,53,14500,0.003655
2000,41,14500,0.002828
2200,44,15000,0.002933
2400,46,15000,0.003067
2600,33,14500,0.002276
2800,37,14500,0.002552
3000,36,14500,0.002483
,,,
,,,
,,,
,,,
,,,
