pulse width,counts,total,eff
500,25,33000,0.000758
1000,50,33000,0.001515
1500,78,32500,0.0024
2000,47,33000,0.001424
2500,38,32500,0.001169
3000,26,33000,0.000788
3500,18,33000,0.000545
4000,33,33000,0.001
4500,22,33000,0.000667
5000,23,33000,0.000697
5500,28,33000,0.000848
6000,26,33000,0.000788
