pulse width,counts,total,eff
200,27,14500,0.001862
400,66,14500,0.004552
600,88,14500,0.006069
800,101,14500,0.006966
1000,60,14500,0.004138
1200,46,14500,0.003172
1400,25,15000,0.001667
1600,21,14500,0.001448
1800,37,15000,0.002467
2000,58,15000,0.003867
2200,72,14500,0.004966
2400,54,15000,0.0036
2600,55,14900,0.003691
2800,42,14500,0.002897
3000,32,15000,0.002133
3200,33,14500,0.002276
3400,31,14500,0.002138
3600,34,14500,0.002345
3800,52,15000,0.003467
4000,28,14500,0.001931
