pulse width,counts,total,eff
200,30,328000,2.43902E-05
400,58,328000,0.000109756
600,68,326000,0.000141516
800,65,328000,0.000131098
1000,44,328000,6.70732E-05
1200,35,328000,3.96341E-05
1400,30,326399,2.48389E-05
1600,30,326000,2.49514E-05
1800,35,326000,4.02888E-05
2000,58,328000,0.000109756
2200,46,327320,7.34621E-05
2400,41,328000,5.79268E-05
2800,35,328000,3.96341E-05
