pulse width,counts,total,eff
500,29,82000,0.000354
1000,32,82000,0.00039
1500,46,82500,0.000558
2000,59,82500,0.000715
2500,57,82000,0.000695
3000,44,82000,0.000537
3500,52,82500,0.00063
4000,50,82000,0.00061
4500,29,82500,0.000352
5000,34,82073,0.000414
5500,33,82500,0.0004
6000,36,82000,0.000439
